コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,サムネイルのインプレッション,サムネイルのクリック率 (%)
yCQyUCg7sOI,職業別・入れるべきAI BEST3【不動産編】,"Aug 15, 2026",43,286,0.9456,0,62,1.61
MSQynJPkyiE,元カメラマンが、クライアント対応で助かっているAI BEST3 #仕事術 #大学生 #人材不足,"Aug 23, 2026",44,260,0.2651,0,5,0
1RXyMQzhL2g,職業別・入れるべきAI BEST3【カスタマーサポート編】,"Aug 17, 2026",37,259,0.1904,0,119,0
5pouwMSLse8,元カメラマンが、駆け出し時代に欲しかったAI BEST3,"Aug 21, 2026",45,254,0.2185,0,11,0
_oaf9NqFkv8,AIに丸投げしてはいけない仕事3つ,"Aug 4, 2026",40,248,0.2688,0,23,0
6IZrwlPpknE,動画編集AI BEST3【元カメラマンが選ぶ】,"Aug 2, 2026",43,247,0.3022,0,209,1.44
IXgouMgqHTE,ねぎらい・感謝が伝わるプロンプトBEST3,"Aug 23, 2026",43,228,0.2155,0,5,0
eX4utOflUds,資料作りのAIプロンプト,"Aug 26, 2026",40,216,0.1789,0,34,0
2_yWCZj18es,「AI副業は稼げない」と言う人へ,"Aug 7, 2026",38,209,0.1667,0,59,1.69
jgnYTq9GuFo,職業別・入れるべきAI BEST3【教員・講師編】,"Aug 16, 2026",41,200,0.2502,0,58,1.72
oBbnmqK_HeA,問い合わせ対応が消えるAIプロンプトBEST3,"Aug 27, 2026",48,187,0.2872,1,8,0
77PDv9s6_JQ,経理職が知らないと損してるAI BEST3【実測あり】,"Aug 12, 2026",37,186,0.1474,0,65,0
pwfFQxq_zBo,元カメラマンが、AIに任せない仕事BEST3,"Aug 8, 2026",37,183,0.2361,0,20,0
lZdNrKmo-Uo,リサーチが消えるAIプロンプトBEST3,"Aug 28, 2026",48,182,0.1391,1,12,0
pIjdRZxWDJ8,日報作成が消えるAIプロンプトBEST3,"Aug 29, 2026",46,178,0.3927,0,1,0
_27P8C26RjE,職業別・入れるべきAI BEST3【デザイナー編】,"Aug 4, 2026",41,177,0.1289,0,105,0.95
rLTGIiYbm3M,経費精算が消えるAIプロンプトBEST3,"Aug 27, 2026",45,170,0.1755,0,29,3.45
GU5Km9UIu3Y,SNS投稿文が消えるAIプロンプトBEST3,"Aug 29, 2026",48,150,0.0633,0,1,0
J2GfhMcJxP8,「AIに聞けばいい」で止まる人へ,"Aug 13, 2026",32,138,0.0935,0,34,0
JdSAD6Xk2i0,議事録・文字起こしAI BEST3【会議が消える】,"Aug 20, 2026",44,119,0.1147,0,71,1.41
uWwGw3zigJo,AIの回答、信じすぎると事故ります,"Aug 5, 2026",34,105,0.048,0,26,0
qoB1IZ3oSJo,日程調整で使えるプロンプトBEST3,"Aug 25, 2026",42,29,0.0681,0,8,0
BcDISpiR214,AIに任せると逆に遅くなる仕事BEST3【任せる前に見て】,"Jul 29, 2026",38,5,0.0223,0,19,5.26
sFz1z2CB2gM,AI、無料版で十分な人の特徴BEST3,"Aug 1, 2026",40,4,0.0215,0,17,5.88
2S0aOqPmpwU,AIを使っても仕事が減らない理由BEST3,"Jul 31, 2026",38,3,0.0206,0,19,0
7zzllND2cwk,今週のAIニュースTOP3【仕事に関係あるものだけ】,"Jul 30, 2026",44,3,0.0211,0,17,0
H3QTegr-63g,「AIに仕事を奪われる」は半分ウソ,"Aug 1, 2026",37,2,0.001,0,14,0
MLjR1VyAhbM,無料AIツール最強ランキング【全部0円】,"Jul 26, 2026",41,2,0.0002,0,15,0
PUyJgAZzqPQ,副業に使えるAIツールBEST5【結局これ】,"Jul 24, 2026",43,1,0.0118,0,19,5.26
TBz5n23ToVk,ChatGPT課金、実は要らない人の特徴,"Jul 25, 2026",37,1,0.0006,0,18,5.56
dCQ9K4ZW53s,検証4日目、最初の「変化」の話,"Jul 30, 2026",37,1,0.0053,0,14,0
Lzk3E8GB7lE,時短効果がヤバいAI活用 ワースト→ベスト【実測】,"Jul 27, 2026",48,1,0.0114,0,12,0
N4Drizzdwhk,職業別・入れるべきAI BEST3【営業編】,"Jul 28, 2026",45,1,0.0005,0,17,0
J8ngNwMGkSw,「AIで楽して稼ぐ」は嘘です,"Jul 31, 2026",43,1,0.0012,0,26,0
ZRWsMRsF4Ws,経理を消すAIツールBEST3【実測タイム付き】,"Jul 25, 2026",43,1,0.0003,0,57,0
HOgB7eol-Cw,手作業の経理、本当に19秒になる?検証した夜,"Jul 28, 2026",41,0,0,0,10,0
